released_year,developer,count
2017,Smartly Dressed Games,190
2017,Freejam,144
2017,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",95
2016,Reto-Moto,68
2016,Chucklefish,15
2016,"Fabio Ferrara,Davide Caio,Nicolò Azzolini,Antonio Carcagnì,Luigi Di Guida,Tommaso Vita",10
2015,Trion Worlds,48
2015,Archive Entertainment,42
2015,Code}{atch,30
2014,"Expansive Worlds,Avalanche Studios",80
2014,Edge of Reality,69
2014,Crytek,57
2013,Bohemia Interactive,269
2013,Facepunch Studios,240
2013,"Trek Industries, Inc",52
2012,Valve,89
2012,Wild Shadow Studios,75
2012,Jagex Limited,26
2011,Reloaded Productions,45
2011,No More Room in Hell Team,24
2011,Re-Logic,20
2010,Telltale Games,8
2010,Avalanche Studios,6
2010,Bohemia Interactive,6
2009,Andrii Vintsevych,24
2009,Invent4 Entertainment,8
2009,DICE,6
2008,Egosoft,3
2008,Meridian4,3
2008,SCS Software,2
2007,Valve,60
2007,"Eric Hartman,Ben Garney,Anthony Rotondo",9
2007,"Fortress Forever Development Team,Trepid Studios",3
2006,Facepunch Studios,38
2006,Nabi Studios,24
2006,Outerlight Ltd.,3
2005,Croteam,2
2005,Pandemic Studios,2
2004,Valve,9
2004,Ascaron Entertainment ltd.,1
2004,Crytek Studios,1
2003,CCP,15
2003,"BioWare,Aspyr (Mac)",2
2003,"EA - Maxis,Aspyr (Mac)",2
2002,FireFly Studios,2
2002,Reality Pump,2
2001,FireFly Studios,2
2001,Reality Pump,1
2000,Ion Storm,1
1999,Chris Sawyer Productions,2
1999,Valve,1
1998,"Jackbox Games, Inc.",2
1990,id Software,1
