item_id,recommendations
761140,"['弹炸人2222', 'Uncanny Islands', 'Beach Rules', 'Planetarium 2 - Zen Odyssey', 'The Warrior Of Treasures']"
643980,"['SNOW', 'Space Hulk', 'BattleLore: Command', 'Interplanetary', 'Airships: Conquer the Skies']"
670290,"['Assassin’s Creed® IV Black Flag™', 'DEFCON', 'RACE - The WTCC Game', 'FlatOut', 'Railroad Tycoon 3']"
767400,"['弹炸人2222', 'Uncanny Islands', 'Beach Rules', 'Planetarium 2 - Zen Odyssey', 'The Warrior Of Treasures']"
773570,"['Icarus Six Sixty Six', 'InMind VR', 'Panoptic', 'After Life VR', ""Don't Get Hit In The Face""]"
772540,"['Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition', 'Christmas Santa Troubles', 'Chronicles of Vinland', 'Orbitality', 'Tank Universal']"
774276,"['SNOW - All Access Pro Pass', 'SNOW - All Access Legend Pass', 'SNOW - Starter Pack', 'SNOW - Lifetime Pack', 'SNOW']"
774277,"['SNOW - All Access Pro Pass', 'SNOW - All Access Legend Pass', 'SNOW - Starter Pack', 'SNOW - Lifetime Pack', 'SNOW']"
774278,"['SNOW - All Access Pro Pass', 'SNOW - All Access Legend Pass', 'SNOW - Starter Pack', 'SNOW - Lifetime Pack', 'SNOW']"
768800,"['Beijing 2008™ - The Official Video Game of the Olympic Games', 'Street Fighter® IV', 'Dead Space™ 2', 'Sonic The Hedgehog 2', 'Sonic 3 &  Knuckles']"
768570,"['弹炸人2222', 'Uncanny Islands', 'Beach Rules', 'Planetarium 2 - Zen Odyssey', 'The Warrior Of Treasures']"
724910,"['After Life VR', 'Kitty Hawk', 'Kingdom Watcher', 'Log Challenge', ""Don't Get Hit In The Face""]"
770380,"['Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition', 'Christmas Santa Troubles', 'Chronicles of Vinland', 'Orbitality', 'Tank Universal']"
768880,"['弹炸人2222', 'Uncanny Islands', 'Beach Rules', 'Planetarium 2 - Zen Odyssey', 'The Warrior Of Treasures']"
765320,"['弹炸人2222', 'Uncanny Islands', 'Beach Rules', 'Planetarium 2 - Zen Odyssey', 'The Warrior Of Treasures']"
773650,"['Fate of the World', 'Fate of the World: Tipping Point', 'Bumbledore', 'Analogue: A Hate Story', 'Gratuitous Tank Battles']"
774271,"['SNOW - All Access Pro Pass', 'SNOW - All Access Legend Pass', 'SNOW - Starter Pack', 'SNOW - Lifetime Pack', 'SNOW']"
773690,"['Civilization V - Babylon (Nebuchadnezzar II)', 'Fate of the World: Denial', 'Fate of the World: Migration', 'Krater - Character DLC Mayhem MK13', 'Gratuitous Tank Battles - The Western Front']"
774279,"['SNOW - All Access Pro Pass', 'SNOW - All Access Legend Pass', 'SNOW - Starter Pack', 'SNOW - Lifetime Pack', 'SNOW']"
772590,"['Icarus Six Sixty Six', 'Kitty Hawk', 'Kingdom Watcher', 'Log Challenge', 'Medicalholodeck Personal Version']"
640250,"['After Life VR', 'Icarus Six Sixty Six', ""Don't Get Hit In The Face"", 'Kingdom Watcher', 'Golf Masters']"
768060,"['弹炸人2222', 'Uncanny Islands', 'Beach Rules', 'Planetarium 2 - Zen Odyssey', 'The Warrior Of Treasures']"
711440,"['Hero Academy', 'King’s Bounty: Legions', 'X-Plane 10 Global - 64 Bit', 'Commander: The Great War', 'Machines At War 3']"
775880,"['Waves Soundtrack', 'Defense Grid: Resurgence Map Pack 1', 'Orcs Must Die! - Artifacts of Power', 'Hard Reset: Exile DLC', ""FLY'N Soundtrack""]"
775881,"[""Oddworld: New 'n' Tasty - Alf's Escape DLC"", 'Check vs. Mate - Floating Island DLC', 'Spiral Knights: Operation Crimson Hammer', 'XCOM: Enemy Unknown - Elite Soldier Pack', 'XCOM: Enemy Within']"
